"make.model","vol","hp","mpg","sp","wt"
"1","GM/GeoMetroXF1",89,49,65.4,96,17.5
"2","GM/GeoMetro",92,55,56,97,20
"3","GM/GeoMetroLSI",92,55,55.9,97,20
"4","SuzukiSwift",92,70,49,105,20
"5","DaihatsuCharade",92,53,46.5,96,20
"6","GM/GeoSprintTurbo",89,70,46.2,105,20
"7","GM/GeoSprint",92,55,45.4,97,20
"8","HondaCivicCRXHF",50,62,59.2,98,22.5
"9","HondaCivicCRXHF",50,62,53.3,98,22.5
"10","DaihatsuCharade",94,80,43.4,107,22.5
"11","SubaruJusty",89,73,41.1,103,22.5
"12","HondaCivicCRX",50,92,40.9,113,22.5
"13","HondaCivic",99,92,40.9,113,22.5
"14","SubaruJusty",89,73,40.4,103,22.5
"15","SubaruJusty",89,66,39.6,100,22.5
"16","SubaruJusty4wd",89,73,39.3,103,22.5
"17","ToyotaTercel",91,78,38.9,106,22.5
"18","HondaCivicCRX",50,92,38.8,113,22.5
"19","ToyotaTercel",91,78,38.2,106,22.5
"20","FordEscort",103,90,42.2,109,25
"21","HondaCivic",99,92,40.9,110,25
"22","PontiacLeMans",107,74,40.7,101,25
"23","IsuzuStylus",101,95,40,111,25
"24","DodgeColt",96,81,39.3,105,25
"25","GM/GeoStorm",89,95,38.8,111,25
"26","HondaCivicCRX",50,92,38.4,110,25
"27","HondaCivicWagon",117,92,38.4,110,25
"28","HondaCivic",99,92,38.4,110,25
"29","SubaruLoyale",102,90,29.5,109,25
"30","VolksJettaDiesel",104,52,46.9,90,27.5
"31","Mazda323Protege",107,103,36.3,112,27.5
"32","FordEscortWagon",114,84,36.1,103,27.5
"33","FordEscort",101,84,36.1,103,27.5
"34","GM/GeoPrism",97,102,35.4,111,27.5
"35","ToyotaCorolla",113,102,35.3,111,27.5
"36","EagleSummit",101,81,35.1,102,27.5
"37","NissanCentraCoupe",98,90,35.1,106,27.5
"38","NissanCentraWagon",88,90,35,106,27.5
"39","ToyotaCelica",86,102,33.2,109,30
"40","ToyotaCelica",86,102,32.9,109,30
"41","ToyotaCorolla",92,130,32.3,120,30
"42","ChevroletCorsica",113,95,32.2,106,30
"43","ChevroletBeretta",106,95,32.2,106,30
"44","ToyotaCorolla",92,102,32.2,109,30
"45","PontiacSunbirdConv",88,95,32.2,106,30
"46","DodgeShadow",102,93,31.5,105,30
"47","DodgeDaytona",99,100,31.5,108,30
"48","EagleSpirit",111,100,31.4,108,30
"49","FordTempo",103,98,31.4,107,30
"50","ToyotaCelica",86,130,31.2,120,30
"51","ToyotaCamry",101,115,33.7,109,35
"52","ToyotaCamry",101,115,32.6,109,35
"53","ToyotaCamry",101,115,31.3,109,35
"54","ToyotaCamryWagon",124,115,31.3,109,35
"55","OldsCutlassSup",113,180,30.4,133,35
"56","OldsCutlassSup",113,160,28.9,125,35
"57","Saab9000",124,130,28,115,35
"58","FordMustang",92,96,28,102,35
"59","ToyotaCamry",101,115,28,109,35
"60","ChryslerLebaronConv",94,100,28,104,35
"61","DodgeDynasty",115,100,28,105,35
"62","Volvo740",111,145,27.7,120,35
"63","FordThunderbird",116,120,25.6,107,40
"64","ChevroletCaprice",131,140,25.3,114,40
"65","LincolnContinental",123,140,23.9,114,40
"66","ChryslerNewYorker",121,150,23.6,117,40
"67","BuickReatta",50,165,23.6,122,40
"68","OldsTrof/Toronado",114,165,23.6,122,40
"69","Oldsmobile98",127,165,23.6,122,40
"70","PontiacBonneville",123,165,23.6,122,40
"71","LexusLS400",112,245,23.5,148,40
"72","Nissan300ZX",50,280,23.4,160,40
"73","Volvo760Wagon",135,162,23.4,121,40
"74","Audi200QuatroWag",132,162,23.1,121,40
"75","BuickElectraWagon",160,140,22.9,110,45
"76","CadillacBrougham",129,140,22.9,110,45
"77","CadillacBrougham",129,175,19.5,121,45
"78","Mercedes500SL",50,322,18.1,165,45
"79","Mercedes560SEL",115,238,17.2,140,45
"80","JaguarXJSConvert",50,263,17,147,45
"81","BMW750IL",119,295,16.7,157,45
"82","Rolls-RoyceVarious",107,236,13.2,130,55
